global_product_id,source_platform_std,total_reviews,avg_rating,avg_sentiment_score,positive_reviews,negative_reviews,neutral_reviews,positive_sentiment_pct,negative_sentiment_pct,review_quality_score,active_days
tiki_46757834,tiki,100,4.19,0.0,0,0,100,0.0,0.0,0.75,1
tiki_58134526,tiki,100,4.77,0.0,0,0,100,0.0,0.0,0.75,1
tiki_2045727,tiki,100,4.26,0.0,0,0,100,0.0,0.0,0.75,1
tiki_2782635,tiki,100,4.55,0.0,0,0,100,0.0,0.0,0.75,1
tiki_58448882,tiki,100,4.28,0.0,0,0,100,0.0,0.0,0.75,1
tiki_459201,tiki,100,4.57,0.0,0,0,100,0.0,0.0,0.75,1
tiki_2799693,tiki,100,3.6,0.0,0,0,100,0.0,0.0,0.75,1
tiki_28068292,tiki,100,2.68,0.0,0,0,100,0.0,0.0,0.75,1
tiki_45908520,tiki,100,4.83,0.0,0,0,100,0.0,0.0,0.75,1
tiki_7718737,tiki,100,4.54,0.0,0,0,100,0.0,0.0,0.75,1
tiki_7717802,tiki,100,4.36,0.0,0,0,100,0.0,0.0,0.75,1
tiki_106503541,tiki,100,4.22,0.0,0,0,100,0.0,0.0,0.75,1
tiki_10651230,tiki,100,4.47,0.0,0,0,100,0.0,0.0,0.75,1
tiki_10671551,tiki,100,4.8,0.0,0,0,100,0.0,0.0,0.75,1
tiki_2901371,tiki,100,4.46,0.0,0,0,100,0.0,0.0,0.75,1
tiki_2902221,tiki,100,4.58,0.0,0,0,100,0.0,0.0,0.75,1
tiki_764581,tiki,100,4.68,0.0,0,0,100,0.0,0.0,0.75,1
tiki_763675,tiki,100,4.43,0.0,0,0,100,0.0,0.0,0.75,1
tiki_43389470,tiki,100,4.33,0.0,0,0,100,0.0,0.0,0.75,1
tiki_14683301,tiki,100,4.8,0.0,0,0,100,0.0,0.0,0.75,1
tiki_58964517,tiki,100,4.65,0.0,0,0,100,0.0,0.0,0.75,1
tiki_91190227,tiki,100,4.65,0.0,0,0,100,0.0,0.0,0.75,1
tiki_23808768,tiki,100,3.98,0.0,0,0,100,0.0,0.0,0.75,1
tiki_10784603,tiki,100,4.24,0.0,0,0,100,0.0,0.0,0.75,1
tiki_90597884,tiki,100,4.19,0.0,0,0,100,0.0,0.0,0.75,1
tiki_5908851,tiki,100,4.57,0.0,0,0,100,0.0,0.0,0.75,1
tiki_10860173,tiki,100,4.36,0.0,0,0,100,0.0,0.0,0.75,1
tiki_3014291,tiki,100,4.57,0.0,0,0,100,0.0,0.0,0.75,1
tiki_76062253,tiki,100,4.63,0.0,0,0,100,0.0,0.0,0.75,1
tiki_188685608,tiki,100,4.67,0.0,0,0,100,0.0,0.0,0.75,1
tiki_14520200,tiki,100,4.54,0.0,0,0,100,0.0,0.0,0.75,1
tiki_30709407,tiki,100,4.47,0.0,0,0,100,0.0,0.0,0.75,1
tiki_42832894,tiki,100,4.69,0.0,0,0,100,0.0,0.0,0.75,1
tiki_202793622,tiki,100,4.72,0.0,0,0,100,0.0,0.0,0.75,1
tiki_144803533,tiki,100,4.66,0.0,0,0,100,0.0,0.0,0.75,1
tiki_311969,tiki,100,4.66,0.0,0,0,100,0.0,0.0,0.75,1
tiki_4252075,tiki,100,4.18,0.0,0,0,100,0.0,0.0,0.75,1
tiki_189940724,tiki,100,4.95,0.0,0,0,100,0.0,0.0,0.75,1
tiki_14348194,tiki,100,4.78,0.0,0,0,100,0.0,0.0,0.75,1
tiki_759024,tiki,100,4.62,0.0,0,0,100,0.0,0.0,0.75,1
tiki_109267785,tiki,100,4.55,0.0,0,0,100,0.0,0.0,0.75,1
tiki_10930944,tiki,100,4.89,0.0,0,0,100,0.0,0.0,0.75,1
tiki_9679994,tiki,100,3.69,0.0,0,0,100,0.0,0.0,0.75,1
tiki_422325,tiki,100,4.67,0.0,0,0,100,0.0,0.0,0.75,1
tiki_75551911,tiki,100,3.59,0.0,0,0,100,0.0,0.0,0.75,1
tiki_422323,tiki,100,4.64,0.0,0,0,100,0.0,0.0,0.75,1
tiki_75397375,tiki,100,4.49,0.0,0,0,100,0.0,0.0,0.75,1
tiki_10971007,tiki,100,4.38,0.0,0,0,100,0.0,0.0,0.75,1
tiki_421870,tiki,100,4.69,0.0,0,0,100,0.0,0.0,0.75,1
tiki_201437397,tiki,100,4.58,0.0,0,0,100,0.0,0.0,0.75,1
tiki_141673064,tiki,100,4.82,0.0,0,0,100,0.0,0.0,0.75,1
tiki_201308561,tiki,100,4.76,0.0,0,0,100,0.0,0.0,0.75,1
tiki_75082841,tiki,100,4.34,0.0,0,0,100,0.0,0.0,0.75,1
tiki_110791834,tiki,100,4.6,0.0,0,0,100,0.0,0.0,0.75,1
tiki_110850007,tiki,100,4.58,0.0,0,0,100,0.0,0.0,0.75,1
tiki_3237483,tiki,100,4.57,0.0,0,0,100,0.0,0.0,0.75,1
tiki_14100920,tiki,100,4.9,0.0,0,0,100,0.0,0.0,0.75,1
tiki_419322,tiki,100,4.33,0.0,0,0,100,0.0,0.0,0.75,1
tiki_419320,tiki,100,4.54,0.0,0,0,100,0.0,0.0,0.75,1
tiki_13984365,tiki,100,4.2,0.0,0,0,100,0.0,0.0,0.75,1
tiki_75075591,tiki,100,4.39,0.0,0,0,100,0.0,0.0,0.75,1
tiki_74912675,tiki,100,4.83,0.0,0,0,100,0.0,0.0,0.75,1
tiki_112287571,tiki,100,4.5,0.0,0,0,100,0.0,0.0,0.75,1
tiki_74907707,tiki,100,4.41,0.0,0,0,100,0.0,0.0,0.75,1
tiki_32592999,tiki,100,4.85,0.0,0,0,100,0.0,0.0,0.75,1
tiki_418620,tiki,100,4.67,0.0,0,0,100,0.0,0.0,0.75,1
tiki_112734786,tiki,100,4.78,0.0,0,0,100,0.0,0.0,0.75,1
tiki_418574,tiki,100,4.58,0.0,0,0,100,0.0,0.0,0.75,1
tiki_112937202,tiki,100,4.77,0.0,0,0,100,0.0,0.0,0.75,1
